name,description
Assess engagement of exoatmospheric targets,
Automatic rapid decoy response against anti-ship missiles,
Classify submerged submarines under all environmental conditions at long range,May have to use bottom reflected and convergence zone acoustic paths.
Defend against anti-ship airborne threats,
Detect anti-ship cruise missiles,
Detect exoatmospheric targets,
Detect low radar-cross section seaskimming missiles,
Detect seaskimming missiles,
Detect submerged submarines under all environmental conditions at long range,May have to use bottom reflected and convergence zone acoustic paths.
Engage exoatmospheric targets,
Find exoatmospheric targets,
Fix exoatmospheric targets,
House and launch standard missiles,
House and launch strike-length missiles,
Illuminate airborne targets for standard missiles,
Illuminate high altitude targets,
Intercept anti-ship ballistic missiles,
Intercept ballistic missile during launch phase,
Intercept ballistic missile in exoatmospheric phase,
Intercept ballistic missile in re-entry phase,
Intercept medium-range ballistic missiles,
Localize submerged submarines under all environmental conditions at long range,May have to use bottom reflected and convergence zone acoustic paths.
Provide missile launch data to standard missile,
Target exoatmospheric targets,
Track exoatmospheric targets,
Track seaskimming missiles,
Track seaskimming missiles in high clutter environments,
Track submerged submarines under all environmental conditions at long range,May have to use bottom reflected and convergence zone acoustic paths.
